DateTime,AddedIPs,RemovedIPs
1607565723,2,2
1607566923,2,3
1607568123,2,30
1607569324,5,2
1607569923,2,5
1607570524,4,1
1607571124,6,0
1607571723,5,0
1607572924,5,4
1607574123,4,6
1607575323,5,3
1607576523,2,0
1607577723,1,6
1607578924,2,0
1607580123,16,0
1607581323,3,8
1607581924,4,0
1607582524,2,0
1607583723,4,2
1607584323,0,8
1607584923,7,0
1607586123,4,20
1607587323,5,0
1607588523,2,0
1607589724,11,14
1607590923,10,0
1607592124,6,5
1607593323,2,9
1607594523,3,1
1607595724,3,2
1607596324,5,0
1607596923,2,0
1607598123,6,2
1607599323,5,15
1607599924,3,0
1607600523,1,0
1607601724,4,7
1607602923,1,0
1607603524,4,3
1607604124,2,0
1607604723,2,0
1607605323,5,0
1607606524,1,5
1607607124,2,7
1607607724,3,3
1607608923,5,0
1607609523,0,9
1607610123,2,6
1607611323,2,3
1607612523,5,1
1607613724,2,3
1607614324,2,0
1607614924,6,0
1607616123,5,6
1607617324,7,4
1607617923,2,6
1607618524,3,0
1607619123,3,4
1607619723,4,0
1607620924,5,15
1607621524,4,0
1607622123,4,0
1607623324,2,5
1607623924,1,0
1607625124,2,13
1607625723,2,15
1607626924,13,0
1607628123,6,1
1607629323,1,2
1607630524,2,0
1607631724,4,3
1607632923,9,8
1607634124,5,14
1607635324,8,13
1607636524,10,0
1607637123,0,1
1607637723,3,0
1607638923,2,1
1607639524,1,14
1607640124,2,3
1607640724,4,0
1607641323,2,0
1607641923,2,2
1607642523,5,3
1607643723,5,6
1607644924,2,1
1607645523,8,10
1607646123,3,0
1607646724,1,8
1607647323,7,0
1607648523,7,5
1607649124,1,4
1607650324,4,4
1607650924,1,3
1607651523,6,0
1607652124,3,4
1607652723,2,0
1607653324,7,3
1607654524,1,0
1607655123,5,4
1607655723,2,0
1607656923,4,1
1607657524,1,7
1607658124,1,0
1607658723,2,5
1607659323,2,0
1607660524,6,5
1607661124,9,2
1607661723,1,0
1607662923,3,3
1607663524,1,0
1607665323,3,16
1607666524,2,2
1607667723,3,3
1607668924,0,8
1607670123,1,3
1607671324,5,0
1607671923,4,0
1607672523,2,0
1607673723,4,4
1607674923,8,0
1607676123,18,9
1607677323,9,2
1607677924,0,1
1607678524,6,2
1607679723,9,0
1607680924,2,3
1607682124,8,13
1607682723,7,2
1607684523,5,3
1607685724,10,24
1607686324,3,0
1607686923,3,0
1607688123,7,4
1607688723,7,0
1607689323,5,1
1607690524,4,2
1607691124,5,0
1607691723,3,2
1607692924,2,9
1607694124,9,0
1607695323,3,1
1607696523,4,0
1607697123,8,0
1607697723,3,0
1607698924,2,5
1607700124,2,2
1607700724,2,0
1607701323,1,8
1607701923,3,1
1607702523,5,0
1607703724,3,2
1607704324,1,1
1607704924,4,0
1607706124,2,1
1607706724,2,0
1607707323,3,0
1607707924,2,13
1607708523,4,0
1607709724,5,7
1607710923,7,0
1607712123,3,3
1607712723,6,18
1607713924,5,6
1607714523,7,1
1607715723,5,0
1607716924,7,9
1607718123,5,0
1607719323,5,10
1607719923,2,0
1607720524,4,16
1607721724,2,0
1607722923,4,2
1607724123,1,9
1607725324,3,2
1607725924,5,8
1607726524,2,0
1607727124,1,5
1607728323,1,1
1607728924,2,0
1607730124,3,17
1607731323,5,15
1607731924,2,0
1607732524,6,0
1607733724,3,8
1607734324,2,0
1607734923,2,0
1607735524,2,4
1607736124,3,2
1607736724,1,0
1607737324,4,0
1607737924,3,11
1607738523,4,0
1607739124,5,0
1607739723,1,0
1607740924,3,11
1607742124,2,0
1607742723,0,1
1607743324,2,0
1607743923,0,3
1607744524,4,6
1607745123,3,0
1607745724,4,0
1607746323,1,0
1607746923,4,1
1607748124,0,5
1607748723,4,3
1607749324,0,2
1607750523,2,4
1607751724,3,0
1607752923,4,3
1607753524,1,2
1607754123,3,0
1607754724,4,3
1607755324,4,0
1607755923,2,0
1607756523,1,0
1607757724,2,16
1607758324,2,1
1607758924,1,0
1607759523,11,9
1607760124,6,5
1607760723,2,3
1607761324,3,0
1607762524,2,6
1607763123,3,0
1607763723,2,0
1607764924,7,1
1607766123,7,10
1607767324,4,1
1607768524,2,1
1607769124,4,5
1607769724,0,4
1607770324,8,0
1607770924,6,0
1607772123,2,2
1607773323,2,1
1607774524,6,2
1607775724,2,2
1607778124,3,16
1607779324,2,4
1607780524,5,0
1607781124,6,0
1607781724,4,0
1607782924,5,1
1607784124,5,0
1607785323,0,12
1607786524,2,1
1607787124,3,9
1607788324,36,0
1607789523,7,1
1607790723,3,13
1607792523,2,5
1607793723,2,0
1607794923,7,2
1607796123,7,5
1607797323,10,9
1607797924,4,1
1607798523,0,2
1607800323,5,0
1607800923,10,8
1607801523,5,0
1607802123,4,2
1607803323,2,3
1607804523,6,2
1607805723,2,8
1607806924,3,4
1607807524,2,0
1607808123,3,0
1607809324,1,10
1607810523,5,1
1607811723,4,0
1607812924,2,5
1607814123,2,0
1607814724,1,8
1607815324,1,0
1607815923,3,11
1607817723,4,0
1607818924,0,6
1607820124,1,3
1607820723,1,1
1607821323,5,0
1607822523,10,6
1607823724,8,28
1607824323,4,9
1607825524,6,0
1607826123,3,5
1607827323,8,1
1607828523,4,2
1607829123,2,0
1607830923,6,12
1607831523,3,0
1607832723,7,1
1607833323,9,0
1607834523,2,4
1607835723,2,12
1607836924,9,1
1607837524,2,0
1607838124,0,2
1607840524,5,5
1607841723,4,0
1607844123,2,0
1607845323,7,16
1607846523,4,0
1607847723,6,1
1607848923,2,6
1607850123,1,4
1607851323,7,0
1607851923,7,1
1607852523,0,1
1607853123,4,2
1607854923,1,3
1607855524,2,6
1607856123,3,43
1607857323,4,0
1607857924,2,11
1607859124,2,13
1607859723,3,0
1607860323,4,7
1607861523,9,5
1607862123,3,3
1607863323,7,4
1607863923,1,1
1607864524,2,0
1607865124,5,5
1607865723,2,13
1607866923,6,14
1607867523,3,11
1607869323,5,3
1607869923,3,0
1607870523,1,3
1607871724,1,0
1607872924,0,5
1607873523,6,4
1607874123,4,1
1607875323,3,0
1607875924,0,5
1607877124,2,3
1607877723,3,3
1607878923,4,0
1607880123,1,19
1607881323,0,11
1607882524,4,0
1607883723,3,6
1607884923,3,0
1607886123,11,12
1607887324,2,8
1607887923,3,0
1607888523,0,6
1607890323,2,11
1607891523,1,0
1607893324,3,5
1607894523,5,0
1607895723,2,15
1607896323,2,1
1607897523,4,0
1607899323,4,1
1607900524,2,12
1607901124,4,0
1607901724,1,0
1607902923,6,14
1607903524,0,5
1607904723,2,3
1607905324,3,11
1607906523,1,0
1607907723,1,4
1607908923,5,18
1607910123,3,6
1607911323,3,0
1607912523,1,1
1607913124,1,0
1607913724,0,1
1607914324,2,0
1607914924,3,0
1607915524,6,6
1607916123,2,2
1607917323,1,3
1607918523,7,2
1607919723,4,0
1607920923,1,6
1607922123,3,0
1607923324,8,1
1607924523,3,26
1607925724,1,0
1607926924,3,2
1607927524,2,2
1607928723,3,0
1607929323,2,3
1607930523,1,0
1607931723,4,1
1607932323,2,1
1607932923,1,11
1607934124,5,0
1607934723,2,2
1607935324,4,7
1607936523,10,2
1607937123,1,11
1607937724,4,1
1607938323,1,4
1607939523,2,1
1607940124,2,1
1607941324,6,0
1607941924,5,2
1607942523,1,1
1607944323,6,21
1607944923,5,10
1607945524,7,0
1607946123,5,2
1607946724,2,7
1607947324,2,0
1607947923,1,12
1607949124,3,0
1607949723,5,0
1607950923,4,4
1607952123,4,6
1607953323,3,18
1607954523,0,2
1607955123,1,0
1607955723,4,0
1607956923,0,3
1607958123,3,0
1607959323,2,5
1607960523,0,5
1607961124,4,0
1607962923,1,29
1607964123,6,2
1607965323,3,3
1607966523,0,1
1607967723,2,3
1607968323,2,0
1607968923,6,0
1607969523,5,8
1607970123,8,11
1607970724,4,3
1607971323,4,2
1607971923,5,1
1607972524,3,4
1607973723,10,0
1607974923,4,12
1607975523,8,3
1607976124,3,0
1607977323,3,20
1607977925,4,7
1607978523,7,4
1607979723,5,0
1607980323,0,5
1607980924,5,19
1607982123,19,0
1607983323,8,4
1607984524,4,5
1607985124,1,0
1607985723,8,0
1607986923,1,13
1607988124,0,13
1607989324,7,0
1607989924,4,16
1607990524,3,1
1607991124,11,0
1607991724,2,0
1607992924,3,12
1607993524,4,1
1607994124,3,4
1607995324,1,0
1607996524,4,23
1607997724,1,0
1607998323,5,12
1607998923,4,1
1608000124,2,4
1608001324,1,11
1608001924,4,0
1608002524,6,0
1608003723,3,11
1608004923,2,4
1608005523,3,0
1608006123,10,0
1608007324,9,6
1608007924,13,0
1608008524,1,0
1608009723,1,0
1608010924,3,13
1608012124,3,0
1608012724,1,1
1608014524,4,18
1608015724,2,0
1608016924,8,19
1608018124,2,4
1608019324,7,0
1608020524,4,2
1608021724,3,9
1608022923,3,2
1608024124,5,15
1608024725,2,0
1608025323,2,0
1608025923,5,0
1608026524,4,2
1608027724,2,1
1608028923,5,5
1608030124,4,0
1608030724,5,2
1608031324,1,14
